name	count
ComputationalModel	1
BpnetQualityMetric	1
BruLibraryQualityMetric	1
GencodeCategoryQualityMetric	1
SegwayQualityMetric	1
CollectionSeries	1
DifferentialAccessibilitySeries	1
ExperimentSeries	1
QualityStandard	1
AggregateSeries	1
DonorCharacterization	5
MatchedSet	5
TreatmentConcentrationSeries	7
ManateeDonor	9
SingleCellRnaSeries	10
DiseaseSeries	11
PulseChaseTimeSeries	16
Project	19
ReplicationTimingSeries	22
Organism	29
DifferentiationSeries	30
Platform	47
PublicationData	49
MouseDonor	53
ScAtacAnalysisQualityMetric	54
ScAtacCountsSummaryQualityMetric	54
AtacAlignmentEnrichmentQualityMetric	60
UcscBrowserComposite	68
TreatmentTimeSeries	73
Pipeline	85
Award	111
FunctionalCharacterizationSeries	128
Lab	139
MultiomicsSeries	143
GenericQualityMetric	153
OrganismDevelopmentSeries	183
Reference	189
CpgCorrelationQualityMetric	212
Page	245
ChiaPetAlignmentQualityMetric	247
ChiaPetPeakEnrichmentQualityMetric	247
IdrSummaryQualityMetric	263
TransgenicEnhancerExperiment	311
Source	320
Software	321
LongReadRnaMappingQualityMetric	333
LongReadRnaQuantificationQualityMetric	333
ReferenceEpigenome	345
ScAtacLibraryComplexityQualityMetric	366
ScAtacMultipletQualityMetric	366
ScAtacReadQualityMetric	366
AnalysisStep	385
HicQualityMetric	420
Image	431
AnalysisStepVersion	483
ChiaPetChrInteractionsQualityMetric	494
WormDonor	495
SoftwareVersion	496
GembsAlignmentQualityMetric	526
Treatment	570
MicroRnaMappingQualityMetric	586
MicroRnaQuantificationQualityMetric	586
ScrnaSeqCountsSummaryQualityMetric	607
StarSoloQualityMetric	607
FlyDonor	687
BismarkQualityMetric	692
FunctionalCharacterizationExperiment	727
ScAtacAlignmentQualityMetric	732
GeneSilencingSeries	913
BiosampleType	942
AtacLibraryQualityMetric	989
SingleCellUnit	1037
GeneticModificationCharacterization	1058
HumanDonor	1219
CorrelationQualityMetric	1349
AtacAlignmentQualityMetric	1978
DnaseFootprintingQualityMetric	2367
DnaseAlignmentQualityMetric	2371
TrimmingQualityMetric	2990
AntibodyLot	3372
BiosampleCharacterization	3385
GeneticModification	3711
Publication	3737
EdwbamstatsQualityMetric	3853
FilteringQualityMetric	4021
User	4125
ComplexityXcorrQualityMetric	4213
Cart	4223
AtacPeakEnrichmentQualityMetric	4686
AtacReplicationQualityMetric	4686
MadQualityMetric	4720
GeneQuantificationQualityMetric	4822
GeneTypeQuantificationQualityMetric	4822
AntibodyCharacterization	5898
DuplicatesQualityMetric	6407
HistoneChipSeqQualityMetric	9195
SamtoolsStatsQualityMetric	9785
Target	9979
ChipAlignmentEnrichmentQualityMetric	14750
IDRQualityMetric	17012
HotspotQualityMetric	17412
ChipLibraryQualityMetric	17677
StarQualityMetric	18173
Document	22038
Experiment	24422
Biosample	25627
ChipSeqFilterQualityMetric	29096
ChipPeakEnrichmentQualityMetric	31841
ChipReplicationQualityMetric	31841
ChipAlignmentQualityMetric	34423
Library	48076
Replicate	49184
SamtoolsFlagstatsQualityMetric	118761
Gene	179933
AnalysisStepRun	271088
Annotation	474997
Analysis	511298
File	1286170
